#repetition,Consumer0,Consumer1,Consumer2,Consumer3,Consumer4,Consumer5,Consumer6,Consumer7,Consumer8,Consumer9,Consumer10,Consumer11,Consumer12,Consumer13,Consumer14,Consumer15,Consumer16,Consumer17,Consumer18,Consumer19,Consumer20,Consumer21,Consumer22,Consumer23,Consumer24,Consumer25,Consumer26,Consumer27,Consumer28,Consumer29,Consumer30,Consumer31,Consumer32,Consumer33,Consumer34,Consumer35,Consumer36,Consumer37,Consumer38,Consumer39,Consumer40,Consumer41,Consumer42,Consumer43,Consumer44,Consumer45,Consumer46,Consumer47,Consumer48,Consumer49
73,-3,0,0,2,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,2,0,0,0,1,-3,0,0,0,1
74,0,0,-3,0,0,0,0,0,-3,0,0,0,0,-3,0,3,0,-3,0,0,0,-3,0,0,0,0,0,2,0,0,-3,0,0,0,0,0,3,0,0,0,-3,0,-3,0,0,0,0,0,2,0
75,0,0,0,2,-3,2,0,0,-3,0,0,0,0,0,0,0,-3,0,0,-3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-3,-3
76,0,0,0,-3,0,0,0,0,0,-3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-3,2,0,-3,0,0,0,0,0,0,0,0,0,0,-3,0,0,1,0,0,0,0,0,0
77,0,0,0,1,0,2,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,3,0,2,0
78,0,0,-3,1,0,0,-3,-3,0,-3,0,0,0,0,0,-3,-3,0,0,-3,-3,0,0,0,0,0,0,-3,0,0,-3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,-3,0,3,0
79,0,0,0,0,0,2,-3,-3,0,0,-3,0,0,0,0,0,0,-3,0,-3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-3,0,0,0,0,0,0
80,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,-3
81,0,-3,0,-3,-3,2,0,3,0,-3,-3,0,0,0,0,0,-3,0,0,0,-3,0,-3,0,0,0,0,0,1,0,-3,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,-3,-3,0,0,0
82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,0,0,0,-3,0,-3,0,0,0,2,0,-3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,2,0
83,0,0,-3,-3,0,2,0,-3,-3,0,0,0,0,-3,0,0,1,0,0,0,-3,0,-3,-3,-3,0,0,-3,0,0,0,0,-3,-3,0,0,0,-3,0,0,0,-3,0,0,-3,0,0,-3,0,3
84,0,0,-3,0,-3,0,0,-3,0,0,0,0,0,0,0,-3,0,0,0,3,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,2,-3,0,0,1,0,-3,0,2,0
85,0,0,0,2,3,2,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,2,1,0,0,0,0,0,3,0,0,3,0,0,0,0,-3,0,1,0,0,0,0,0
86,3,0,-3,0,2,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,-3,-3,-3,0,0,0,-3,0,0,0,0,0,0,0,-3,0,0,0,0,0,-3,-3,0,0,-3,0,0,-3,0,2,0
87,3,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,-3,0,2,1,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,-3,0,0,-3
88,0,0,-3,0,0,0,0,0,3,0,-3,0,0,0,-3,0,0,0,2,0,3,0,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,0,0,0,0,2,0,-3,0,0,0,0,0,2,-3
89,0,0,0,2,-3,2,0,0,0,3,0,0,-3,0,0,0,0,-3,0,0,-3,3,3,-3,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0
90,0,-3,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,-3,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,3,0,0,2,-3,0,0,0,-3,0,0,1,0
91,0,0,-3,2,0,0,-3,0,0,0,0,0,3,0,0,0,0,-3,0,0,3,0,-3,0,0,0,0,2,0,0,0,0,0,0,-3,0,0,1,-3,0,0,0,0,0,0,0,0,0,0,0
92,0,0,0,0,0,2,0,0,0,0,0,-3,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,-3,0,-3,0,0,0,0,-3,2,0
93,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,-3,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,-3,0,3,0,0,0,0,-3,0,0,0,0,0
94,0,0,0,0,0,2,0,0,0,0,-3,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-3,0,0,0,0,-3,0,2,3,3,0,0,0,0,0,1,0
95,-3,0,0,2,0,0,0,0,-3,-3,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,-3,-3,0,0,3,0,-3,0,0,0,0,0,0,-3,-3,0
96,0,0,0,0,0,2,0,3,0,0,0,0,0,0,0,0,-3,0,0,0,0,-3,0,0,0,0,0,0,0,0,-3,1,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
97,0,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,-3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0
98,0,-3,0,0,0,2,3,0,0,0,0,-3,0,0,-3,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,-3,0,0,-3,0,0,-3,0,-3,0,0,-3,0,0,-3,-3,0,0,0,0,-3
99,-3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,-3,2,0,2,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,-3,0,0,2,3
100,0,-3,0,0,-3,2,-3,-3,0,0,-3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,-3,0,0,3,0,0,2,0,0,0,0,0,0,0,-3,0
101,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,2,0,3,0,0,3,0,0,0,0,1,-3,-3,0,0,0,0,-3,0,0,0,2,-3
102,0,0,0,0,0,-3,0,0,0,0,0,0,-3,0,-3,0,0,0,0,0,0,0,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,-3,0,-3,0,0
103,-3,3,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,2,1,0,-3,0,0,0,0,0,0,-3,0,-3,0,0,0,-3,0,0,0,0,2,-3
104,-3,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,-3,0,3,0,0,0,0,0,0,0,0,0,-3,0,0,0,-3,-3,0,0,0,1,0,0,2,0,0,0,-3,0,0,0,0,0
105,2,-3,0,2,0,0,0,3,0,-3,0,0,0,0,-3,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,1,0
106,2,0,0,0,0,2,-3,0,0,0,0,-3,0,0,0,0,0,3,-3,0,0,-3,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,3,-3,0,0,0,0,0,0
107,2,3,-3,-3,0,0,0,0,3,0,3,0,0,0,0,-3,0,0,2,0,0,0,-3,0,0,0,0,-3,0,0,0,0,0,-3,0,0,0,-3,0,0,2,-3,0,0,3,0,0,-3,2,0
108,0,0,0,0,-3,2,0,0,0,3,-3,-3,0,-3,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,-3,0,0,-3,-3,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0
109,3,0,0,2,0,0,0,0,3,0,0,0,0,0,0,-3,0,0,0,-3,3,-3,0,0,3,0,-3,2,0,0,0,0,0,0,0,0,-3,0,0,0,2,0,0,0,0,0,0,0,2,-3
110,-3,0,0,0,0,2,0,0,0,0,0,-3,3,0,0,0,0,0,-3,0,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,0,0,0,0,0
111,0,0,-3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,-3,0,1,0,0,2,0,-3,0,0,-3,0,0,0,0,0,0,0,-3,0,0,0,-3,0,0,0,1,3
112,0,0,0,0,0,2,-3,0,0,0,0,0,0,-3,0,-3,-3,-3,0,-3,3,3,0,0,1,-3,0,0,0,2,0,0,-3,0,0,0,-3,-3,0,0,0,0,0,0,0,0,0,0,0,0
113,-3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,-3,0,-3,2,0
114,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,0,0,-3,-3,0,0,0,-3,0,0,0,0,-3,0,0,-3,0,0,-3,0,0,3,1,0,0,0,0
